PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Fare,Embarked
1,0.0,3,0,0,22.0,1,0,7.25,0.0
2,1.0,1,1,1,38.0,1,0,71.2833,1.0
3,1.0,3,2,1,26.0,0,0,7.925,0.0
4,1.0,1,1,1,35.0,1,0,53.1,0.0
5,0.0,3,0,0,35.0,0,0,8.05,0.0
6,0.0,3,0,0,28.0,0,0,8.4583,2.0
7,0.0,1,0,0,54.0,0,0,51.8625,0.0
8,0.0,3,3,0,2.0,3,1,21.075,0.0
9,1.0,3,1,1,27.0,0,2,11.1333,0.0
10,1.0,2,1,1,14.0,1,0,30.0708,1.0
11,1.0,3,2,1,4.0,1,1,16.7,0.0
12,1.0,1,2,1,58.0,0,0,26.55,0.0
13,0.0,3,0,0,20.0,0,0,8.05,0.0
14,0.0,3,0,0,39.0,1,5,31.275,0.0
15,0.0,3,2,1,14.0,0,0,7.8542,0.0
16,1.0,2,1,1,55.0,0,0,16.0,0.0
17,0.0,3,3,0,2.0,4,1,29.125,2.0
18,1.0,2,0,0,28.0,0,0,13.0,0.0
19,0.0,3,1,1,31.0,1,0,18.0,0.0
20,1.0,3,1,1,28.0,0,0,7.225,1.0
21,0.0,2,0,0,35.0,0,0,26.0,0.0
22,1.0,2,0,0,34.0,0,0,13.0,0.0
23,1.0,3,2,1,15.0,0,0,8.0292,2.0
24,1.0,1,0,0,28.0,0,0,35.5,0.0
25,0.0,3,2,1,8.0,3,1,21.075,0.0
26,1.0,3,1,1,38.0,1,5,31.3875,0.0
27,0.0,3,0,0,28.0,0,0,7.225,1.0
28,0.0,1,0,0,19.0,3,2,263.0,0.0
29,1.0,3,2,1,28.0,0,0,7.8792,2.0
30,0.0,3,0,0,28.0,0,0,7.8958,0.0
31,0.0,1,4,0,40.0,0,0,27.7208,1.0
32,1.0,1,1,1,28.0,1,0,146.5208,1.0
33,1.0,3,2,1,28.0,0,0,7.75,2.0
34,0.0,2,0,0,66.0,0,0,10.5,0.0
35,0.0,1,0,0,28.0,1,0,82.1708,1.0
36,0.0,1,0,0,42.0,1,0,52.0,0.0
37,1.0,3,0,0,28.0,0,0,7.2292,1.0
